2011-11-07 22:00:51 Notice: Notice (8): Undefined index:  fanfaron_id in [APP/controllers/fanfarons_controller.php, line 76]
2011-11-07 22:03:12 Notice: Notice (8): Undefined index:  fanfaron_id in [APP/controllers/fanfarons_controller.php, line 76]
2011-11-07 22:05:23 Notice: Notice (8): Undefined index:  fanfaron_id in [APP/controllers/fanfarons_controller.php, line 76]
2011-11-07 22:06:04 Notice: Notice (8): Undefined index:  fanfaron_id in [APP/controllers/fanfarons_controller.php, line 76]
2011-12-06 13:00:28 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2011-12-06 13:00:28 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2011-12-07 22:10:23 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2011-12-07 22:10:23 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2012-06-25 21:43:41 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2012-06-25 21:43:41 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2012-10-07 09:26:28 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2012-10-07 09:26:28 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2012-11-07 08:58:37 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2012-11-07 08:58:37 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-03-02 09:43:17 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-03-02 09:43:17 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-03-09 12:17:47 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-03-09 12:17:47 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-03-17 11:55:22 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-03-17 11:55:22 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-09 11:58:01 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-09 11:58:01 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-09 13:10:31 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-09 13:10:31 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-09 20:05:36 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-09 20:05:36 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-09 21:16:16 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-09 21:16:16 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-10 20:14:46 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-10 20:14:46 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-12 10:17:32 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-12 10:17:32 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-19 16:00:04 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-09-19 16:00:04 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-10-23 16:26:42 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-10-23 16:26:42 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2013-11-12 19:58:53 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2013-11-12 19:58:53 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-01-08 13:20:15 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-01-08 13:20:15 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-02-22 09:50:47 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-02-22 09:50:47 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-02-28 00:31:39 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-02-28 00:31:39 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-02-28 00:31:55 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-02-28 00:31:55 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-04-10 12:25:15 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-04-10 12:25:16 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-04-15 10:17:11 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-04-15 10:17:11 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-09-01 16:43:30 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-09-01 16:43:30 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-09-04 12:07:23 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-09-04 12:07:23 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-09-23 11:09:10 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-09-23 11:09:10 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-12-17 18:48:43 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-12-17 18:48:43 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2014-12-18 13:57:24 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2014-12-18 13:57:24 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
